bin_low,bin_high,count,fraction
0.00,0.02,143768567,0.856927
0.02,0.04,5531477,0.032970
0.04,0.06,2387840,0.014233
0.06,0.08,1436163,0.008560
0.08,0.10,992299,0.005915
0.10,0.12,737703,0.004397
0.12,0.14,577837,0.003444
0.14,0.16,468385,0.002792
0.16,0.18,391071,0.002331
0.18,0.20,332988,0.001985
0.20,0.22,290641,0.001732
0.22,0.24,257788,0.001537
0.24,0.26,231165,0.001378
0.26,0.28,210322,0.001254
0.28,0.30,192284,0.001146
0.30,0.32,177959,0.001061
0.32,0.34,167211,0.000997
0.34,0.36,156386,0.000932
0.36,0.38,148532,0.000885
0.38,0.40,141436,0.000843
0.40,0.42,136017,0.000811
0.42,0.44,132356,0.000789
0.44,0.46,128786,0.000768
0.46,0.48,126677,0.000755
0.48,0.50,124449,0.000742
0.50,0.52,122859,0.000732
0.52,0.54,122860,0.000732
0.54,0.56,123412,0.000736
0.56,0.58,124246,0.000741
0.58,0.60,125699,0.000749
0.60,0.62,127973,0.000763
0.62,0.64,130705,0.000779
0.64,0.66,134904,0.000804
0.66,0.68,139254,0.000830
0.68,0.70,143620,0.000856
0.70,0.72,150987,0.000900
0.72,0.74,158134,0.000943
0.74,0.76,165944,0.000989
0.76,0.78,175177,0.001044
0.78,0.80,187669,0.001119
0.80,0.82,199487,0.001189
0.82,0.84,217065,0.001294
0.84,0.86,239505,0.001428
0.86,0.88,268522,0.001601
0.88,0.90,309588,0.001845
0.90,0.92,368021,0.002194
0.92,0.94,452829,0.002699
0.94,0.96,601034,0.003582
0.96,0.98,913142,0.005443
0.98,1.00,2823185,0.016827
