bin_low,bin_high,count,fraction
0.00,0.02,20905347,0.830704
0.02,0.04,926205,0.036804
0.04,0.06,411029,0.016333
0.06,0.08,252960,0.010052
0.08,0.10,175976,0.006993
0.10,0.12,131680,0.005232
0.12,0.14,102890,0.004088
0.14,0.16,83200,0.003306
0.16,0.18,69392,0.002757
0.18,0.20,59379,0.002360
0.20,0.22,52071,0.002069
0.22,0.24,45760,0.001818
0.24,0.26,40944,0.001627
0.26,0.28,37658,0.001496
0.28,0.30,34453,0.001369
0.30,0.32,32390,0.001287
0.32,0.34,30095,0.001196
0.34,0.36,28486,0.001132
0.36,0.38,26590,0.001057
0.38,0.40,24922,0.000990
0.40,0.42,24613,0.000978
0.42,0.44,23893,0.000949
0.44,0.46,22665,0.000901
0.46,0.48,22488,0.000894
0.48,0.50,22168,0.000881
0.50,0.52,21846,0.000868
0.52,0.54,21763,0.000865
0.54,0.56,21857,0.000869
0.56,0.58,21981,0.000873
0.58,0.60,22328,0.000887
0.60,0.62,22853,0.000908
0.62,0.64,23548,0.000936
0.64,0.66,24382,0.000969
0.66,0.68,25169,0.001000
0.68,0.70,26216,0.001042
0.70,0.72,26991,0.001073
0.72,0.74,28712,0.001141
0.74,0.76,29881,0.001187
0.76,0.78,31624,0.001257
0.78,0.80,33863,0.001346
0.80,0.82,36966,0.001469
0.82,0.84,40188,0.001597
0.84,0.86,44618,0.001773
0.86,0.88,49957,0.001985
0.88,0.90,58112,0.002309
0.90,0.92,68544,0.002724
0.92,0.94,86641,0.003443
0.94,0.96,113213,0.004499
0.96,0.98,174592,0.006938
0.98,1.00,522725,0.020771
